Genus,Species,ASW11,ASW15,ASW16,ASW19,ASW20,ASW22,ASW29,ASW2,ASW31,ASW35,ASW37,ASW38,ASW3,ASW45,ASW47,ASW49,ASW50,ASW51,ASW54,ASW56,ASW59,ASW62,ASW64,ASW65,ASW66,ASW67,ASW68,ASW69,ASW73,ASW74,ASW7
Thermus,Thermus aquaticus,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,47
Thermus,Thermus brockianus,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,126,0,0,18,0,161,0,0,0,0,0,0,0,0,0
Thermus,Thermus caldilimi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,13,0,0,0,0,0,0,0,0,0
Thermus,Thermus oshimai,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,60
Thermus,Thermus scotoductus,0,0,0,0,0,0,0,0,0,47,18,0,0,0,0,0,52,0,0,0,0,25,0,0,0,0,0,0,44,0,0
Thermus,Thermus sp.,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,27,0,0,0,0,19,0,0,0,0,47,0,0,0,0
Thermus,Thermus sp.,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0
Thermus,Thermus thermophilus,67,0,0,0,0,112,69,17,0,21,13,56,0,0,0,0,146,0,0,62,0,127,19,0,0,76,48,0,17,100,45
Thioalkalivibrio,Thioalkalivibrio nitratireducens,0,0,0,50,0,0,24,0,61,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,10,0,0,0,0
Thioalkalivibrio,Thioalkalivibrio paradoxus,48,0,0,0,0,0,49,0,0,0,0,11,0,0,0,0,23,0,0,33,0,26,0,0,0,39,28,0,0,69,0
Thioalkalivibrio,Thioalkalivibrio sp.,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,28,0,0,0,32
Thioalkalivibrio,Thioalkalivibrio sulfidiphilus,0,0,0,0,0,24,15,0,0,0,0,20,0,0,0,0,0,0,62,0,0,0,0,0,0,23,14,0,0,0,91
